Cluster 0:Cartoon                        Character  Cluster
    365                      elderly man        0
    758                      elder woman        0
    502                       two adults        0
    607                  deceased person        0
    345                  deceased person        0
    542            gentleman with a cane        0
     11                    elderly woman        0
    247                  man with a cane        0
    752     elderly man with a briefcase        0
    752 elderly woman with a hat and bag        0
    374                  deceased person        0
      8                   elderly person        0
    195                      older woman        0
    137                      elderly man        0
    731                      elderly man        0
    383             pedestrian with cane        0
    229                      elderly man        0
    229                  middle-aged man        0
    510               person with a cane        0
    137                      elderly man        0
    731                      elderly man        0
    337                      elderly man        0
    337                    elderly woman        0
    435                adult with a cane        0
    182                      elderly man        0
    614                      grandmother        0
    413                      older woman        0
     72                  man with a cane        0
    761                  middle-aged man        0
    761                middle-aged woman        0

Cluster 1:Cartoon               Character  Cluster
    723  cat playing the violin        1
    723             cat singing        1
    762                   mouse        1
    758                     car        1
    758                     cat        1
    447                     cat        1
    693      mouse riding a dog        1
    191                     cat        1
    579             crowned cat        1
     66                     cat        1
     66                   mouse        1
    714                     cat        1
      1                    mice        1
    667                   mouse        1
    640                     cat        1
    640    mouse riding the cat        1
    640                   mouse        1
    640                   mouse        1
    375             striped cat        1
    375               round cat        1
    375                   mouse        1
     41                     cat        1
    476                     cat        1
    677                     cat        1
    342                     cat        1
    342                   mouse        1
    196                   mouse        1
    196                   mouse        1
    204                     rat        1
    438                     cat        1
    588                     cat        1
    377 rat reading a newspaper        1
    730         mouse scientist        1
    435                     cat        1
    403                     cat        1
    377                     rat        1
    403                     cat        1
    182        cat in a picture        1
    371                     cat        1
    371                   mouse        1
    701                   mouse        1
    347                     cat        1
    150                     cat        1
    690           cat in a suit        1
    223                     cat        1
      3         disgruntled cat        1
    167                   mouse        1

Cluster 2:Cartoon Character  Cluster
    236     woman        2
    631     woman        2
    518     woman        2
     10     woman        2
    332     woman        2
    627     woman        2
    109     woman        2
    109     woman        2
    488     woman        2
    719     woman        2
     92     woman        2
    543     woman        2
    390     woman        2
    105     woman        2
    693     woman        2
    484     woman        2
    742     woman        2
    579     woman        2
    650     woman        2
    703     woman        2
    353     woman        2
    353     woman        2
    492     woman        2
    168     woman        2
    610     woman        2
    755     woman        2
    714     woman        2
    597     woman        2
    578     woman        2
     70     woman        2
    743     woman        2
    387     woman        2
    446     woman        2
    391     woman        2
    470     woman        2
    132     woman        2
    431     woman        2
    574     woman        2
    348     woman        2
    523     woman        2
    108     woman        2
    364     woman        2
    763     woman        2
    276     woman        2
    149     woman        2
     11     woman        2
     46     woman        2
    722     woman        2
    688     woman        2
    379     woman        2
    396     woman        2
    512     woman        2
    338     woman        2
    292     woman        2
    103     woman        2
    553     woman        2
    380     woman        2
    601     woman        2
    343     woman        2
    713     woman        2
    119     woman        2
      6     woman        2
    477     woman        2
    476     woman        2
    533     woman        2
    421     woman        2
     83     woman        2
      7     woman        2
    564     woman        2
    358     woman        2
    437     woman        2
    749     woman        2
     40     woman        2
    231     woman        2
    138     woman        2
    568     woman        2
    657     woman        2
     21     woman        2
    339     woman        2
     34     woman        2
    183     woman        2
     63     woman        2
    592     woman        2
    746     woman        2
    414     woman        2
      7     woman        2
      7     woman        2
      7     woman        2
    564     woman        2
    358     woman        2
      7     woman        2
    156     woman        2
    510     woman        2
    681     woman        2
     38     woman        2
    160     woman        2
    475     woman        2
     96     woman        2
    418     woman        2
    731     woman        2
    459     woman        2
     14     woman        2
    398     woman        2
    232     woman        2
    726     woman        2
    376     woman        2
    634     woman        2
    321     woman        2
     15     woman        2
    360     woman        2
    659     woman        2
     78     woman        2
    435     woman        2
    566     woman        2
    423     woman        2
    248     woman        2
     39     woman        2
    696     woman        2
    481     woman        2
    747     woman        2
    156     woman        2
    681     woman        2
     38     woman        2
    160     woman        2
     96     woman        2
    418     woman        2
    731     woman        2
    623     woman        2
    459     woman        2
     14     woman        2
    376     woman        2
    634     woman        2
    321     woman        2
     15     woman        2
    225     woman        2
    675     woman        2
    675     woman        2
    659     woman        2
     78     woman        2
    423     woman        2
    248     woman        2
     39     woman        2
     58     woman        2
    696     woman        2
    481     woman        2
    747     woman        2
    439     woman        2
    356     woman        2
    213     woman        2
     35     woman        2
    478     woman        2
    751     woman        2
    536     woman        2
    473     woman        2
    131     woman        2
    424     woman        2
    648     woman        2
    577     woman        2
    432     woman        2
    520     woman        2
    609     woman        2
     53     woman        2
    367     woman        2
    737     woman        2
     45     woman        2
    428     woman        2
    347     woman        2
    202     woman        2
    652     woman        2
    594     woman        2
    740     woman        2
    310     woman        2
    557     woman        2
    445     woman        2
    150     woman        2
    687     woman        2
     49     woman        2
    541     woman        2
    111     woman        2
    405     woman        2
    540     woman        2
    669     woman        2
    517     woman        2
    192     woman        2
    741     woman        2
    311     woman        2
    716     woman        2
    653     woman        2
    645     woman        2
     33     woman        2
    757     woman        2
    370     woman        2
    262     woman        2
    327     woman        2
     13     woman        2
    223     woman        2
     29     woman        2
    521     woman        2
    171     woman        2
    126     woman        2
    576     woman        2
    433     woman        2
    649     woman        2
    130     woman        2
    537     woman        2

Cluster 3:Cartoon                                        Character  Cluster
    373                                      businessman        3
    373                                    businesswoman        3
     47                                      businessman        3
    324                                      businessman        3
    324                                      businessman        3
    762                                      businessman        3
    762                                    businesswoman        3
    627                                      businessman        3
    522                                      businessman        3
    575                                      businessmen        3
    758                                      businessman        3
    534                    businessman holding clipboard        3
    534                      businessman carrying a fish        3
    534                                      businessman        3
    113                                      businessman        3
    447                                      businessman        3
    369                                      businessman        3
     26                                      businessman        3
    484                                      businessman        3
    742                                      businessman        3
    312                          businessman with a tail        3
    353                                      businessman        3
     30                                      businessman        3
    169                                      businessman        3
     31                                      businessman        3
    217                                      businessman        3
    352                                    businesswoman        3
    201                                      businessman        3
    344                                    businesswoman        3
    344                                      businessmen        3
    344                                      businessman        3
     27                     businessman reading document        3
     27                                      businessman        3
     27                                    businesswoman        3
     27                                      businessman        3
    692                                      businessman        3
    411                                      businessman        3
    153               businessman with outstretched arms        3
    153                              businessman at desk        3
    153                             businessman standing        3
    446                                      businessman        3
    446                                      businessman        3
    450                              businessman sitting        3
    450                              businessman walking        3
    450                             businessman standing        3
    450                              businessman sitting        3
    427                                      businessman        3
    431                         businessman with glasses        3
    431                                    businesswoman        3
    431                                      businessman        3
     93                     businessman at head of table        3
    466                                   businesspeople        3
    173                                      businessman        3
    221                                      businessman        3
    333                                      businessman        3
     11                                      businessman        3
    372                                      businessman        3
    237                       businessman with briefcase        3
    237                                      businessman        3
    237                  businessman with thought bubble        3
    545                                      businessman        3
    545                                    businesswoman        3
    400                                      businessman        3
    400                                      businessman        3
    142                                      businessman        3
    142                                      businessman        3
    457                                      businessman        3
    504                                    businesswoman        3
    154                          businessman with an axe        3
    154                          businessman with papers        3
    154             businessman with a fire extinguisher        3
    154                           businessman looking on        3
    553                                      businessman        3
    314                                      businessman        3
    569                              businessman jumping        3
    569                                      businessman        3
    569                                    businesswoman        3
    569                                      businessman        3
    210                                      businessman        3
     36                                      businessman        3
    549                                    businesswoman        3
    549                                    businesswoman        3
    621                                      businessman        3
    363                                      businessman        3
    733                                      businessman        3
    733                                      businessman        3
     57                                      businessman        3
    318                                      businessman        3
    359                         businessman with glasses        3
    359                                      businessman        3
    359                      businessman with blank face        3
    359                        businessman with document        3
    709                                    businesswoman        3
    420                                   businessperson        3
    498                                      businessman        3
    498                                      businessman        3
    533                                      businessman        3
    533                                      businessman        3
    564                                      businessman        3
     95                                      businessman        3
    525                                      businessman        3
    227                                    businesswoman        3
    159                                      businessman        3
    159                                      businessman        3
    266                              businessman walking        3
    266                       businessman with briefcase        3
    266                            businessman crouching        3
    246                                      businessman        3
    616 businessman with a puppet or ventriloquist dummy        3
    495                                      businessman        3
    495                             businessman standing        3
    495                              businessman sitting        3
    495                 businessman with glasses sitting        3
    138                                      businessman        3
    315                                      businessmen        3
    196                                      businessman        3
    339                                      businessman        3
    155                                      businessman        3
    143                          businessman with papers        3
    143                             businessman pointing        3
    513                         businessman with glasses        3
    513                     businessman with eyes closed        3
    513                        businessman looking ahead        3
    513                                    businesswoman        3
    728                                   businessperson        3
    544                                      businessman        3
    584                                      businessmen        3
    584                                    businesswoman        3
    204                                      businessman        3
     75                                      businessman        3
     75                                      businessman        3
    592                                      businessman        3
     22                  businessperson with back turned        3
     22                      businessperson raising hand        3
     22                      businessperson with hand up        3
     22                                   businessperson        3
     22                                   businessperson        3
    195                                      businessman        3
     59                                      businessman        3
    101                                      businessman        3
    564                                      businessman        3
    156                                      businessman        3
    475                                      businessman        3
    619                                      businessman        3
    249                        businessman with umbrella        3
    137                                      businessman        3
     79                                      businessman        3
     79                                    businesswoman        3
    176                                      businessman        3
    224                                      businessmen        3
    224                                    businesswomen        3
     14                                      businessman        3
