Cluster 0:
Cartoon                 Character  Cluster
    762                     mouse        0
    693        mouse riding a dog        0
    129                     robot        0
    217                    monkey        0
     66                     mouse        0
      1 person in a mouse costume        0
      1                      mice        0
    523                    monkey        0
    523                    monkey        0
    558                       toy        0
    667                     mouse        0
    640      mouse riding the cat        0
    640                     mouse        0
    640                     mouse        0
    375                     mouse        0
    708                     robot        0
    749                    rabbit        0
    342                     mouse        0
    196                     mouse        0
    196                     mouse        0
    204                       rat        0
    398                     snake        0
    730           mouse scientist        0
    120     anthropomorphic mouse        0
     79               small robot        0
    398                     snake        0
    377                       rat        0
    730     anthropomorphic mouse        0
    120     anthropomorphic mouse        0
    371                     mouse        0
    701                     mouse        0
     65                     robot        0
    582                    monkey        0
    557                     snake        0
    110                     robot        0
    556                     robot        0
    167                     mouse        0

Cluster 1:
Cartoon                                        Character  Cluster
    373                                      businessman        1
    373                                    businesswoman        1
     47                                      businessman        1
    324                      businessman with ram's head        1
    324                                      businessman        1
    324                                      businessman        1
    762                                      businessman        1
    762                                    businesswoman        1
    627                                      businessman        1
    522                                      businessman        1
    575                                      businessmen        1
    758                                      businessman        1
    534                    businessman holding clipboard        1
    534                      businessman carrying a fish        1
    534                                      businessman        1
    113                                      businessman        1
    447                                      businessman        1
    369                                      businessman        1
     26                                      businessman        1
    484                                      businessman        1
    742                                      businessman        1
    312                          businessman with a tail        1
    353                                      businessman        1
     30                                      businessman        1
    169                                      businessman        1
     31                                      businessman        1
    217                                      businessman        1
    352                                    businesswoman        1
    201                                      businessman        1
    344                                    businesswoman        1
    344                                      businessmen        1
    344                                      businessman        1
     27                     businessman reading document        1
     27                                      businessman        1
     27                                    businesswoman        1
     27                                      businessman        1
    692                                      businessman        1
    411                                      businessman        1
    153               businessman with outstretched arms        1
    153                              businessman at desk        1
    153                             businessman standing        1
    446                                      businessman        1
    446                                      businessman        1
    450                              businessman sitting        1
    450                              businessman walking        1
    450                             businessman standing        1
    450                              businessman sitting        1
    427                                      businessman        1
    431                         businessman with glasses        1
    431                                    businesswoman        1
    431                                      businessman        1
     93                     businessman at head of table        1
    466                                   businesspeople        1
    173                                      businessman        1
    221                                      businessman        1
    333                                      businessman        1
     11                                      businessman        1
    372                                      businessman        1
    237                       businessman with briefcase        1
    237                                      businessman        1
    237                  businessman with thought bubble        1
    545                                      businessman        1
    545                                    businesswoman        1
    400                                      businessman        1
    400                                      businessman        1
    142                                      businessman        1
    142                                      businessman        1
    457                                      businessman        1
    504                                    businesswoman        1
    154                          businessman with an axe        1
    154                          businessman with papers        1
    154             businessman with a fire extinguisher        1
    154                           businessman looking on        1
    553                                      businessman        1
    314                                      businessman        1
    569                              businessman jumping        1
    569                                      businessman        1
    569                                    businesswoman        1
    569                                      businessman        1
    210                                      businessman        1
     36                                      businessman        1
    549                                    businesswoman        1
    549                                    businesswoman        1
    621                                      businessman        1
    363                                      businessman        1
    733                                      businessman        1
    733                                      businessman        1
     57                                      businessman        1
    318                                      businessman        1
    359                         businessman with glasses        1
    359                                      businessman        1
    359                      businessman with blank face        1
    359                        businessman with document        1
    709                                    businesswoman        1
    420                                   businessperson        1
    498                                      businessman        1
    498                                      businessman        1
    533                                      businessman        1
    533                                      businessman        1
    564                                      businessman        1
     95                                      businessman        1
    525                                      businessman        1
    227                                    businesswoman        1
    159                                      businessman        1
    159                                      businessman        1
    266                              businessman walking        1
    266                       businessman with briefcase        1
    266                            businessman crouching        1
    246                                      businessman        1
    616 businessman with a puppet or ventriloquist dummy        1
    495                                      businessman        1
    495                             businessman standing        1
    495                              businessman sitting        1
    495                 businessman with glasses sitting        1
    138                                      businessman        1
    315                                      businessmen        1
    196                                      businessman        1
    339                                      businessman        1
    155                                      businessman        1
    143                          businessman with papers        1
    143                             businessman pointing        1
    513                         businessman with glasses        1
    513                     businessman with eyes closed        1
    513                        businessman looking ahead        1
    513                                    businesswoman        1
    728                                   businessperson        1
    544                                      businessman        1
    584                                      businessmen        1
    584                                    businesswoman        1
    204                                      businessman        1
     75                                      businessman        1
     75                                      businessman        1
    592                                      businessman        1
     22                  businessperson with back turned        1
     22                      businessperson raising hand        1
     22                      businessperson with hand up        1
     22                                   businessperson        1
     22                                   businessperson        1
    195                                      businessman        1
     59                                      businessman        1
    101                                      businessman        1
    564                                      businessman        1
    156                                      businessman        1
    475                                      businessman        1
    619                                      businessman        1
    249                        businessman with umbrella        1
    137                                      businessman        1
     79                                      businessman        1
     79                                    businesswoman        1
    176                                      businessman        1
    224                                      businessmen        1
    224                                    businesswomen        1
     14                                      businessman        1
     43                                      businessman        1
    232                    businessman reading newspaper        1
    233                                      businessman        1
     42                                      businessman        1
    634                                      businessman        1
    458                                      businessman        1
    622                                    businesswoman        1
    622                                      businessman        1
    360                                      businessman        1
    177                                      businessman        1
    120                                      businessman        1
    136                                      businessman        1
      5                                      businessman        1
     39                                      businessman        1
    161                                      businessman        1
    474                                      businessman        1
    474                                      businessman        1
    680                                      businessman        1
    638                                      businessman        1
    507                    businessman with large pencil        1
    157                                      businessman        1
    550                                      businessman        1
    696                                      businessman        1
    194                                      businessman        1
    156                                      businessman        1
     18                                      businessman        1
    510                                      businessman        1
    475                                      businessman        1
    249                                      businessman        1
    137                                      businessman        1
     79                                      businessman        1
     79                                    businesswoman        1
    224                                      businessman        1
    224                                      businessman        1
     14                                      businessman        1
     14                                      businessman        1
     43                                      businessman        1
    232                      businessman looking forward        1
