Cluster 0:Cartoon     Character  Cluster
    723          fish        0
    109      sea star        0
    467          bird        0
    471     fisherman        0
    471   fisherwoman        0
    144          fish        0
    555         shark        0
    165          cook        0
    759          fish        0
    562          fish        0
    441 fish skeleton        0
    441          fish        0
    314          bird        0
    508         shark        0
    532         whale        0
    437          bird        0
    509          fish        0
    615     fisherman        0
      8          fish        0
    711        batter        0
    603        diners        0
    603         diner        0
    551          wave        0

Cluster 1:Cartoon Character  Cluster
    631       man        1
    518       man        1
    109       man        1
    488       man        1
    719       man        1
     92       man        1
    125       man        1
    758       man        1
    390       man        1
    105       man        1
    739       man        1
    693       man        1
    607       man        1
    579       man        1
    216       man        1
    538       man        1
    168       man        1
     66       man        1
    714       man        1
    578       man        1
    743       man        1
    190       man        1
    329       man        1
    515       man        1
    684       man        1
    391       man        1
    470       man        1
    348       man        1
    523       man        1
     50       man        1
    734       man        1
    763       man        1
     11       man        1
    630       man        1
     46       man        1
    722       man        1
    292       man        1
    103       man        1
    416       man        1
    695       man        1
    380       man        1
    482       man        1
     20       man        1
     98       man        1
     77       man        1
    586       man        1
    247       man        1
     16       man        1
    271       man        1
    508       man        1
    699       man        1
    174       man        1
    565       man        1
    135       man        1
    477       man        1
    162       man        1
    533       man        1
    421       man        1
     83       man        1
    708       man        1
    437       man        1
    525       man        1
    175       man        1
    698       man        1
    677       man        1
    724       man        1
    753       man        1
    641       man        1
    568       man        1
    591       man        1
    745       man        1
    529       man        1
    381       man        1
    417       man        1
    339       man        1
    505       man        1
    456       man        1
    401       man        1
    496       man        1
    357       man        1
    212       man        1
    480       man        1

Cluster 2:Cartoon         Character  Cluster
    133           caveman        2
    133         cavewomen        2
    308           caveman        2
    241          castaway        2
    755           caveman        2
    684          dinosaur        2
    108           caveman        2
    671           caveman        2
    333           caveman        2
    333         cavewoman        2
    457           cavemen        2
    676           caveman        2
    676         cavewoman        2
    676 two cave children        2
    712          dinosaur        2
    552          castaway        2

Cluster 3:Cartoon Character  Cluster
    723     woman        3
    236     woman        3
    631     woman        3
    518     woman        3
    332     woman        3
    627     woman        3
    109     woman        3
    719     woman        3
     92     woman        3
    125     woman        3
    758     woman        3
    543     woman        3
    693     woman        3
    484     woman        3
    607     woman        3
    742     woman        3
    650     woman        3
    703     woman        3
    353     woman        3
    492     woman        3
    168     woman        3
    610     woman        3
    647     woman        3
     66     woman        3
    714     woman        3
    597     woman        3
    578     woman        3
     70     woman        3
    446     woman        3
    470     woman        3
    132     woman        3
    431     woman        3
    574     woman        3
    348     woman        3
    523     woman        3
    108     woman        3
    276     woman        3
    149     woman        3
     11     woman        3
     46     woman        3
    688     woman        3
    379     woman        3
    396     woman        3
    512     woman        3
    338     woman        3
    292     woman        3
    103     woman        3
    482     woman        3
     20     woman        3
    601     woman        3
    343     woman        3
    713     woman        3
    119     woman        3
     16     woman        3
    699     woman        3
    135     woman        3
    477     woman        3
    476     woman        3
    163     woman        3
    533     woman        3
    421     woman        3
     83     woman        3
      7     woman        3
    564     woman        3
    358     woman        3
    437     woman        3
    749     woman        3
    698     woman        3
     40     woman        3
    724     woman        3
    231     woman        3
    568     woman        3
    657     woman        3
     21     woman        3
    417     woman        3
    339     woman        3
    401     woman        3
     34     woman        3
    183     woman        3
    357     woman        3
    746     woman        3
    414     woman        3
      7     woman        3
      7     woman        3
      7     woman        3
    564     woman        3
    358     woman        3
      7     woman        3

Cluster 4:Cartoon                    Character  Cluster
    373                businesswoman        4
    762                businesswoman        4
    344                businesswoman        4
     27                businesswoman        4
    450                businesswoman        4
    431                businesswoman        4
     93 person in a business meeting        4
    545                businesswoman        4
    569                businesswoman        4
    549                businesswoman        4
    318                office worker        4
    436                office worker        4
    709                businesswoman        4
    227                businesswoman        4
    616                office worker        4
    495                businesswoman        4
    592                office worker        4
    603                office worker        4

Cluster 5:Cartoon                Character  Cluster
    762                 tortoise        5
    349                 waitress        5
    758                     tree        5
    164                    goats        5
    543                 elephant        5
    685                     bear        5
    451                      pig        5
    410                   beaver        5
    191                    sheep        5
    129                    robot        5
    539                  lemming        5
    485                      cow        5
    692                    sheep        5
    104                     cows        5
    503                 reindeer        5
    427                   zombie        5
    523                   monkey        5
    355                   turkey        5
    322                      ant        5
    733                    sheep        5
