Cartoon,Setting,Cluster
230,a road,0
582,road,0
480,street,0
413,an alleyway,0
383,an alleyway,0
351,subway,0
272,the road,0
190,the road,0
442,traffic,0
331,a road,0
533,a subway,0
434,the yellow brick road,0
343,a back alley,0
79,a city,0
415,a subway,0
515,a railroad,0
642,alleyway,0
509,a stream,0
745,downtown city,0
2,a subway train,0
689,a street,0
622,the subway,0
324,an alleyway,0
92,a street-corner,0
697,a subway,0
609,a subway,0
91,a highway,0
4,a city,0
315,a city,0
385,the road,0
575,path,0
752,a road,0
510,the street,0
187,a roadway,0
14,a city street,0
368,the highway,0
169,the street,0
435,the streets,0
548,a traffic stop,0
217,an office room,1
384,a meeting room,1
592,classroom,1
450,a meeting room,1
365,a round table,1
388,an operating room,1
65,a meeting room,1
569,a corporate meeting room,1
151,office room,1
159,a board room,1
155,a conference room,1
246,a meeting room,1
219,a performance room,1
252,an office room,1
269,a meeting room,1
326,therapy room,1
22,a corporate meeting room,1
528,an office room,1
495,boardroom,1
255,an office room,1
727,an empty room,1
8,a room,1
62,an office room,1
170,the break room,1
29,an office room,1
371,a room,1
207,a room,1
373,a meeting room,1
33,a hotel room,1
545,a meeting room,1
233,a corporate meeting room,1
5,waiting room,1
613,an interrogation room,1
93,a meeting room,1
75,a meeting room,1
177,an office room,1
56,an operating room,1
460,boardroom,1
135,a room,1
204,an office meeting,1
200,a reception desk,1
684,boardroom,1
154,a meeting room,1
98,an office room,1
327,a swimming pool,2
46,a convention center,2
472,debate,2
440,a baseball pit,2
623,a public park,2
594,park,2
630,beach,2
432,a kennel,2
381,a hill,2
86,golf course,2
312,a zoo,2
436,a fish bowl,2
89,a circus,2
624,a cemetery,2
335,horse track,2
570,a park bench,2
181,Europe,2
473,a park,2
158,beach,2
645,a golf course,2
336,conference,2
626,ranch,2
718,farm,2
461,an airport,2
572,public pool,2
484,a pool hall,2
757,a park,2
721,a sandbox,2
266,an ice skating rink,2
444,lake,2
215,a boxing ring,2
502,graveyard,2
309,a roller coaster,2
453,an arena,2
489,a junkyard,2
506,the execution grounds,2
633,a park,2
711,the living room,3
418,a living room,3
128,a living room,3
593,a living roo,3
531,a living room,3
247,a living room apartment,3
193,a living room,3
686,a living room,3
618,a living room,3
330,the tv room,3
691,the living room,3
142,Living Room,3
83,living room,3
401,a living room,3
57,a living room,3
20,the living room,3
449,a living room,3
236,a living room,3
164,a living room,3
117,a living room,3
310,a living room,3
577,a living room,3
470,the living room,3
396,the living room,3
377,the living room,3
182,a living room,3
743,the living room,3
641,a living room,3
111,a living room,3
523,the living room,3
205,the living room,3
157,the living room,3
464,a living room,3
50,a living room,3
19,a living room,3
391,the living room,3
70,the living room,3
438,living room,3
311,a living room,3
150,the living room,3
537,the living room,3
66,living room,3
428,the living room,3
477,a living room,3
543,the living room,3
63,a living room,3
21,a living room,3
123,A living room,3
222,the living room,3
579,the living room,3
403,a living room,3
649,a living room,3
433,a living room,3
725,a field,4
206,a field,4
625,baseball field,4
674,a field,4
319,a field,4
102,a field,4
733,a field,4
736,a field,4
494,a football field,4
661,a snowfield,4
485,a field,4
750,a field,4
139,a field,4
761,a field,4
397,a baseball field,4
186,mount sinai,5
728,the beach,5
741,remote area,5
185,mountains,5
547,a desert,5
469,a desert,5
234,a western town,5
124,the desert,5
601,the desert,5
552,a desert,5
581,mount sinai,5
705,the middle of a desert,5
140,the oregontrail,5
486,the mountains,5
322,the desert,5
646,the mountains,5
362,the desert,5
54,the desert,5
399,the wild west,5
524,the hills,5
194,the desert,5
271,mount sinai,5
634,the pyramids,5
202,the beach,5
553,a wasteland,5
744,middle of nowhere,5
424,the desert,5
71,doctor's office,6
61,doctor's office,6
591,a therapist's office,6
651,a doctor's office,6
226,doctor's office,6
476,a psychiatrist office,6
354,the doctor's office,6
179,a doctor's office,6
250,a doctor's office,6
375,therapist office,6
756,a psychiatrist office,6
650,a psychiatry office,6
660,a doctor's office,6
540,doctor's office,6
220,a doctor's office,6
386,the doctor's office,6
565,doctor's office,6
447,a psychiatry office,6
144,therapist office,6
382,doctor's office,6
358,a therapist office,6
30,Doctor's Office,6
536,a psychiatry office,6
212,a therapist office,6
416,a psychiatry office,6
419,doctor's office,6
666,a therapist office,6
672,a doctor's office,6
99,a physician's office,6
520,therapist office,6
317,a psychiatry office,6
452,a counseling office,6
731,a therapist office,6
455,a therapist's office,6
699,psychologist office,6
408,a doctor's office,6
321,a bedroom,7
478,bedroom,7
347,the bedroom,7
34,a bedroom,7
243,the bedroom,7
53,a bedroom,7
183,a bedroom,7
189,a bed,7
7,a bedroom,7
263,the bedroom,7
13,a bedroom,7
166,the bedroom,7
353,a bedroom,7
58,the bedroom,7
456,the bedroom,7
558,a bedroom,7
492,the bedroom,7
669,a bedroom,7
248,a bedroom,7
134,the bedroom,7
216,the bedroom,7
,,
153,court room,8
51,the courtroom,8
275,a courtoom,8
732,a courtroom,8
199,a courtroom,8
517,a courtroom,8
37,a courtroom,8
122,a courtroom,8
176,a courtroom,8
147,the courtroom,8
